name,price,origin,year,date,mileage,energy,gearbox,color,seats,doors,length,ratedHorsePower,powerDIN,consumption,brand,model
CITROEN C5 X,54980.0,France,2023.0,26/01/2024,27 776 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
OPEL CROSSLAND phase 2,29950.0,France,2024.0,14/02/2024,344 km,Essence,Automatique,noir metal,,,,7 CV,(DIN) 131 ch - (moteur) 96 kW,"6,3 L/100 km",OPEL,CROSSLAND phase 2
AUDI A4 V,27540.0,France,2020.0,28/10/2020,86 504 km,Diesel,Automatique,,,,,7 CV,(DIN) 150 ch - (moteur) 110 kW,"4,3 L/100 km",AUDI,A4 V
MINI COUNTRYMAN II phase 2,32740.0,Importé,2020.0,06/05/2020,68 754 km,Hybride essence électrique,Automatique,gris foncé metal,,,,6 CV,(DIN) 220 ch - (moteur) 162 kW,,MINI,COUNTRYMAN II phase 2
RENAULT CLIO V,13900.0,France,2021.0,22/11/2021,74 517 km,Diesel,Manuelle,,,,,4 CV,(DIN) 86 ch,"4,2 L/100 km",RENAULT,CLIO V
CITROEN GRAND C4 SPACETOURER,31780.0,France,2023.0,17/11/2023,30 174 km,Diesel,Automatique,NOIR,,,,7 CV,(DIN) 130 ch,"5,1 L/100 km",CITROEN,GRAND C4 SPACETOURER
BMW X6 F16,45040.0,France,2020.0,21/09/2020,86 625 km,,,,,,,16 CV,(DIN) 259 ch,"6,4 L/100 km",BMW,X6 F16
VOLVO XC60 II phase 2,47830.0,France,2021.0,19/01/2022,159 750 km,Hybride essence électrique,,,,,,20 CV,(DIN) 317 ch - (moteur) 223 kW,,VOLVO,XC60 II phase 2
FORD PUMA II,22890.0,France,2022.0,02/02/2022,30 321 km,Essence,Manuelle,,,,,6 CV,(DIN) 125 ch,"5,3 L/100 km",FORD,PUMA II
FORD TRANSIT CUSTOM II phase 2,63720.0,France,2024.0,10/01/2025,1 km,Diesel,Automatique,,,,,7 CV,(DIN) 170 ch,,FORD,TRANSIT CUSTOM II phase 2
RENAULT CLIO IV phase 2,16480.0,France,2019.0,16/08/2019,71 272 km,Diesel,Automatique,,,,,5 CV,(DIN) 90 ch,"3,9 L/100 km",RENAULT,CLIO IV phase 2
PEUGEOT 2008 II,29290.0,France,2021.0,07/08/2021,30 265 km,Diesel,Automatique,orange,,,,7 CV,(DIN) 131 ch,"4,9 L/100 km",PEUGEOT,2008 II
MAZDA MX5 IV ST,29010.0,France,2017.0,29/12/2017,28 407 km,Essence,Manuelle,,,,,9 CV,(DIN) 160 ch - (moteur) 118 kW,"6,6 L/100 km",MAZDA,MX5 IV ST
PORSCHE MACAN phase 2,101590.0,France,2021.0,16/11/2021,39 385 km,Essence,Automatique,gris,,,,33 CV,(DIN) 440 ch,"9,7 L/100 km",PORSCHE,MACAN phase 2
CITROEN C5 AIRCROSS phase 2,33800.0,France,2024.0,21/02/2024,1 km,Diesel,Manuelle,gris,,,,7 CV,(DIN) 131 ch,"4,9 L/100 km",CITROEN,C5 AIRCROSS phase 2
PEUGEOT 2008 II,32180.0,France,2023.0,23/01/2024,22 388 km,Essence,Automatique,gris clair,,,,7 CV,(DIN) 131 ch,"5,9 L/100 km",PEUGEOT,2008 II
VOLKSWAGEN TAIGO,28750.0,Importé,2024.0,27/11/2024,11 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch,,VOLKSWAGEN,TAIGO
CUPRA FORMENTOR,43030.0,France,2022.0,15/03/2022,49 678 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 245 ch,,CUPRA,FORMENTOR
MERCEDES CLASSE A IV,26140.0,France,2019.0,24/11/2019,69 480 km,Diesel,Automatique,,,,,6 CV,(DIN) 116 ch,4 L/100 km,MERCEDES,CLASSE A IV
MERCEDES CLASSE A IV AMG,59980.0,France,2021.0,26/08/2021,34 402 km,Essence,Automatique,,,,,20 CV,(DIN) 306 ch - (moteur) 225 kW,"7,9 L/100 km",MERCEDES,CLASSE A IV AMG
CITROEN C3 AIRCROSS,15680.0,France,2020.0,16/11/2020,99 937 km,Diesel,Manuelle,,,,,5 CV,(DIN) 102 ch,4 L/100 km,CITROEN,C3 AIRCROSS
RENAULT SCENIC III XMOD phase 3,11340.0,France,2013.0,15/09/2013,136 890 km,Essence,Manuelle,blanc metal,,,,7 CV,(DIN) 130 ch - (moteur) 96 kW,"6,4 L/100 km",RENAULT,SCENIC III XMOD phase 3
PORSCHE CAYENNE III COUPE,107980.0,Importé,2020.0,26/07/2020,24 624 km,Essence,Automatique,noir metal,,,,23 CV,(DIN) 340 ch - (moteur) 250 kW,9 L/100 km,PORSCHE,CAYENNE III COUPE
AUDI Q5 II,45480.0,France,2019.0,27/10/2019,67 146 km,Diesel,Automatique,,,,,11 CV,(DIN) 190 ch,"4,8 L/100 km",AUDI,Q5 II
AUDI Q3 II,51920.0,France,2023.0,25/08/2023,19 959 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 245 ch,,AUDI,Q3 II
AUDI A3 IV SPORTBACK,41960.0,France,2023.0,28/03/2023,15 561 km,Diesel,Automatique,noir,,,,8 CV,(DIN) 150 ch,"4,6 L/100 km",AUDI,A3 IV SPORTBACK
CITROEN C3 III phase 2,18000.0,France,2021.0,21/02/2021,30 268 km,Diesel,Manuelle,,,,,5 CV,(DIN) 102 ch,"4,2 L/100 km",CITROEN,C3 III phase 2
LAND ROVER RANGE ROVER SPORT II,35390.0,France,2015.0,30/03/2015,141 930 km,Diesel,Automatique,marron,,,,16 CV,(DIN) 259 ch,"6,7 L/100 km",LAND,ROVER RANGE ROVER SPORT II
PORSCHE MACAN phase 2,104440.0,France,2021.0,28/10/2021,41 523 km,Essence,Automatique,gris,,,,33 CV,(DIN) 440 ch,"11,4 L/100 km",PORSCHE,MACAN phase 2
KIA STONIC phase 2,26310.0,France,2023.0,28/05/2023,9 619 km,Essence,Manuelle,,,,,6 CV,(DIN) 120 ch,"5,2 L/100 km",KIA,STONIC phase 2
PEUGEOT 308 II phase 2,15100.0,France,2019.0,22/07/2019,137 132 km,Essence,,,,,,7 CV,(DIN) 131 ch,"5,1 L/100 km",PEUGEOT,308 II phase 2
DS 3 CROSSBACK,30450.0,France,2022.0,17/03/2022,54 084 km,Diesel,Automatique,,,,,7 CV,(DIN) 131 ch,5 L/100 km,DS,3 CROSSBACK
CITROEN C4 III,28220.0,France,2023.0,14/08/2023,26 046 km,Diesel,Automatique,noir,,,,7 CV,(DIN) 131 ch,"4,6 L/100 km",CITROEN,C4 III
AUDI RS6 III AVANT phase 2,87280.0,France,2017.0,06/02/2017,82 800 km,Essence,Automatique,,,,,52 CV,(DIN) 605 ch,"7,4 L/100 km",AUDI,RS6 III AVANT phase 2
BMW X2 F39,43180.0,France,2022.0,16/02/2022,31 852 km,Hybride essence électrique,Automatique,,,,,6 CV,(DIN) 220 ch,,BMW,X2 F39
MINI COUNTRYMAN II,40320.0,France,2021.0,29/10/2021,36 848 km,Essence,Automatique,gris metal,,,,11 CV,(DIN) 192 ch - (moteur) 141 kW,"5,7 L/100 km",MINI,COUNTRYMAN II
VOLVO C40,55240.0,France,2022.0,21/10/2022,15 255 km,Electrique,Automatique,rouge metal,5.0,2.0,,12 CV,(DIN) 408 ch - (moteur) 300 kW,,VOLVO,C40
OPEL MERIVA II,7890.0,France,2013.0,08/09/2013,133 227 km,Essence,,,,,,6 CV,(DIN) 101 ch - (moteur) 74 kW,"5,1 L/100 km",OPEL,MERIVA II
CITROEN BERLINGO III VAN phase 2,25360.0,France,2024.0,25/07/2024,11 km,Essence,Manuelle,,,,,6 CV,(DIN) 110 ch,,CITROEN,BERLINGO III VAN phase 2
PEUGEOT 308 III,39650.0,France,2024.0,16/07/2024,1 km,Essence,Automatique,bleu,,,,7 CV,(DIN) 130 ch,"5,7 L/100 km",PEUGEOT,308 III
PORSCHE 911 TYPE 991 CABRIOLET phase 2,173880.0,France,2019.0,02/09/2019,55 680 km,Essence,,,,,,34 CV,(DIN) 450 ch - (moteur) 331 kW,7 L/100 km,PORSCHE,911 TYPE 991 CABRIOLET phase 2
LAND ROVER RANGE ROVER SPORT III,169380.0,France,2024.0,26/05/2024,593 km,Hybride essence électrique,Automatique,,,,,28 CV,(DIN) 400 ch - (moteur) 265 kW,,LAND,ROVER RANGE ROVER SPORT III
AUDI A5 (2E GENERATION),47280.0,Importé,2022.0,29/07/2022,30 610 km,Diesel,Automatique,Noir,,,,11 CV,(DIN) 204 ch - (moteur) 150 kW,,AUDI,A5 (2E GENERATION)
BMW SERIE 5 E61 TOURING phase 2,11880.0,France,2010.0,19/05/2010,245 577 km,Diesel,,,,,,10 CV,(DIN) 177 ch - (moteur) 130 kW,"4,5 L/100 km",BMW,SERIE 5 E61 TOURING phase 2
OPEL MOKKA II,26430.0,France,2022.0,21/06/2022,11 347 km,Essence,Manuelle,gris quartz metal,,,,5 CV,(DIN) 101 ch - (moteur) 74 kW,"5,6 L/100 km",OPEL,MOKKA II
PEUGEOT EXPERT III FOURGON,34690.0,France,2023.0,28/08/2023,224 km,Diesel,Manuelle,,,,,5 CV,(DIN) 120 ch,"6,6 L/100 km",PEUGEOT,EXPERT III FOURGON
KIA RIO IV phase 2,19670.0,France,2022.0,11/06/2022,31 044 km,Essence,,,,,,5 CV,(DIN) 100 ch,"5,5 L/100 km",KIA,RIO IV phase 2
VOLKSWAGEN ID.5,48370.0,France,2023.0,08/12/2023,18 150 km,Electrique,Automatique,,,,,5 CV,(DIN) 95 ch,,VOLKSWAGEN,ID.5
AUDI SQ5 phase 2,29140.0,France,2014.0,18/12/2014,167 292 km,Diesel,Automatique,,,,,20 CV,(DIN) 313 ch,"6,6 L/100 km",AUDI,SQ5 phase 2
VOLKSWAGEN GOLF VIII,41990.0,Importé,2023.0,26/12/2023,2 609 km,Essence,Automatique,bleu metal,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"5,7 L/100 km",VOLKSWAGEN,GOLF VIII
PORSCHE MACAN,45590.0,Importé,2015.0,08/01/2016,178 980 km,Diesel,Automatique,,,,,16 CV,(DIN) 258 ch - (moteur) 190 kW,"6,1 L/100 km",PORSCHE,MACAN
CITROEN C5 AIRCROSS,28580.0,France,2021.0,06/02/2021,19 707 km,Diesel,Automatique,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
KIA EV6,48190.0,France,2023.0,21/03/2023,20 914 km,Electrique,Automatique,,,,,4 CV,(DIN) 76 ch,,KIA,EV6
MERCEDES CLASSE A III AMG,39250.0,France,2016.0,07/07/2016,131 495 km,Essence,,,,,,24 CV,(DIN) 361 ch - (moteur) 265 kW,"5,9 L/100 km",MERCEDES,CLASSE A III AMG
VOLKSWAGEN ID.3,52010.0,France,2023.0,27/04/2023,7 260 km,Electrique,Automatique,,,,,5 CV,(DIN) 204 ch,,VOLKSWAGEN,ID.3
RENAULT CLIO IV phase 2,17280.0,France,2019.0,23/11/2019,114 464 km,Essence,Automatique,beige metal,,,,6 CV,(DIN) 118 ch - (moteur) 88 kW,"4,5 L/100 km",RENAULT,CLIO IV phase 2
PEUGEOT 408,43490.0,Importé,2024.0,05/09/2024,11 km,Essence,Automatique,,,,,7 CV,(DIN) 130 ch - (moteur) 96 kW,,PEUGEOT,408
PEUGEOT 208 II,20800.0,France,2021.0,07/03/2021,79 849 km,Essence,,,,,,5 CV,(DIN) 101 ch - (moteur) 75 kW,"5,8 L/100 km",PEUGEOT,208 II
PEUGEOT 2008 II,30230.0,France,2024.0,07/01/2025,1 km,Essence,Automatique,rouge,,,,7 CV,(DIN) 130 ch,6 L/100 km,PEUGEOT,2008 II
VOLKSWAGEN POLO VI GTI phase 2,34380.0,France,2023.0,03/08/2023,6 393 km,Essence,Automatique,gris foncé,,,,11 CV,(DIN) 207 ch,"6,8 L/100 km",VOLKSWAGEN,POLO VI GTI phase 2
CITROEN C4 PICASSO II,13420.0,France,2015.0,16/12/2015,144 893 km,Diesel,Manuelle,gris clair,,,,6 CV,(DIN) 116 ch,"3,8 L/100 km",CITROEN,C4 PICASSO II
PEUGEOT 3008 II,25390.0,France,2019.0,10/03/2019,120 843 km,Diesel,,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",PEUGEOT,3008 II
SEAT ATECA phase 2,27280.0,France,2022.0,09/05/2022,53 047 km,Diesel,Manuelle,noir,,,,8 CV,(DIN) 150 ch,"5,1 L/100 km",SEAT,ATECA phase 2
BMW SERIE 5 G31 TOURING,38850.0,France,2020.0,30/04/2020,107 998 km,Diesel,,,,,,10 CV,(DIN) 190 ch,"5,1 L/100 km",BMW,SERIE 5 G31 TOURING
FORD MUSTANG VI CABRIOLET,52180.0,France,2017.0,10/10/2017,46 400 km,Essence,Automatique,,,,,33 CV,(DIN) 422 ch,"8,7 L/100 km",FORD,MUSTANG VI CABRIOLET
AUDI RS3 III SPORTBACK,112330.0,France,2024.0,29/03/2024,5 885 km,Essence,,,,,,28 CV,(DIN) 400 ch - (moteur) 294 kW,9 L/100 km,AUDI,RS3 III SPORTBACK
SEAT ATECA,19780.0,France,2020.0,17/10/2020,71 719 km,Essence,Manuelle,gris,,,,6 CV,(DIN) 116 ch,"5,4 L/100 km",SEAT,ATECA
CITROEN C3 III,11640.0,France,2018.0,06/05/2018,120 132 km,Diesel,Manuelle,,,,,4 CV,(DIN) 75 ch,"2,9 L/100 km",CITROEN,C3 III
CITROEN C5 X,54980.0,France,2023.0,26/01/2024,27 776 km,Hybride essence électrique,,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
BMW X5 G05,99980.0,France,2022.0,18/10/2022,34 375 km,Hybride essence électrique,Automatique,noir,,,,,,,BMW,X5 G05
AUDI A6 V,47710.0,France,2022.0,04/03/2022,54 735 km,Diesel,Automatique,gris,,,,11 CV,(DIN) 204 ch,"5,4 L/100 km",AUDI,A6 V
CITROEN C4 III,25330.0,France,2022.0,16/10/2022,34 289 km,Essence,Automatique,,,,,7 CV,(DIN) 131 ch,"5,7 L/100 km",CITROEN,C4 III
PEUGEOT 208 II,23150.0,France,2022.0,13/02/2022,36 149 km,,,,,,,5 CV,(DIN) 101 ch,"5,3 L/100 km",PEUGEOT,208 II
PEUGEOT 5008 II,29410.0,France,2020.0,01/10/2020,97 653 km,Diesel,Manuelle,blanc,,,,6 CV,(DIN) 130 ch,"4,1 L/100 km",PEUGEOT,5008 II
VOLKSWAGEN CRAFTER II,56970.0,France,2024.0,20/08/2024,1 368 km,Diesel,Automatique,,,,,7 CV,(DIN) 177 ch - (moteur) 130 kW,"9,8 L/100 km",VOLKSWAGEN,CRAFTER II
TOYOTA YARIS CROSS,36110.0,France,2024.0,10/02/2024,63 km,Hybride essence électrique,Automatique,,,,,5 CV,(DIN) 116 ch,,TOYOTA,YARIS CROSS
PEUGEOT 5008 II,23480.0,France,2018.0,17/04/2018,113 887 km,Essence,,,,,,7 CV,(DIN) 131 ch,"4,7 L/100 km",PEUGEOT,5008 II
BMW X1 F48 phase 2,37270.0,Importé,2022.0,07/11/2022,32 499 km,Essence,Automatique,noir metal,,,,7 CV,(DIN) 136 ch - (moteur) 100 kW,"6,5 L/100 km",BMW,X1 F48 phase 2
SUZUKI VITARA 4,30210.0,Importé,2024.0,27/03/2024,12 km,Hybride essence électrique,Manuelle,blanc,,,,7 CV,(DIN) 129 ch,,SUZUKI,VITARA 4
FORD TRANSIT COURIER phase 2,15510.0,France,2019.0,06/10/2019,62 715 km,Diesel,,,,,,6 CV,(DIN) 75 ch,"3,6 L/100 km",FORD,TRANSIT COURIER phase 2
FIAT 500 X phase 2,19290.0,France,2020.0,27/03/2020,89 651 km,Essence,Manuelle,,,,,6 CV,(DIN) 120 ch,"5,8 L/100 km",FIAT,500 X phase 2
RENAULT TRAFIC III phase 2,42740.0,France,2024.0,09/02/2024,1 km,Diesel,Manuelle,blanc,,,,7 CV,(DIN) 150 ch,"6,7 L/100 km",RENAULT,TRAFIC III phase 2
FIAT 500 C II phase 2,14120.0,France,2019.0,07/11/2019,86 343 km,Essence,,,,,,4 CV,(DIN) 69 ch,"4,2 L/100 km",FIAT,500 C II phase 2
LAND ROVER RANGE ROVER VELAR,61030.0,France,2021.0,02/12/2021,45 968 km,Diesel,,,,,,10 CV,(DIN) 180 ch - (moteur) 132 kW,"5,8 L/100 km",LAND,ROVER RANGE ROVER VELAR
VOLVO XC60 II,45200.0,France,2019.0,05/12/2019,96 509 km,Hybride essence électrique,Automatique,,,,,17 CV,(DIN) 303 ch - (moteur) 287 kW,,VOLVO,XC60 II
CUPRA FORMENTOR,43030.0,France,2022.0,15/03/2022,49 678 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 245 ch,,CUPRA,FORMENTOR
AUDI RS4 IV AVANT,49330.0,France,2014.0,20/11/2014,102 438 km,Essence,Automatique,,,,,35 CV,(DIN) 450 ch,"8,5 L/100 km",AUDI,RS4 IV AVANT
HYUNDAI KONA phase 2,29500.0,France,2021.0,26/06/2021,15 990 km,Electrique,Automatique,,,,,2 CV,,,HYUNDAI,KONA phase 2
CITROEN GRAND C4 SPACETOURER,27540.0,France,2023.0,21/12/2023,19 957 km,Diesel,Automatique,,,,,7 CV,(DIN) 130 ch,"5,1 L/100 km",CITROEN,GRAND C4 SPACETOURER
PORSCHE 911 TYPE 991 GT3 RS phase 2,336380.0,Importé,2020.0,04/01/2021,9 048 km,Essence,Automatique,bleu clair verni,2.0,2.0,"4,56 m",44 CV,(DIN) 520 ch - (moteur) 382 kW,"13,2 L/100 km",PORSCHE,911 TYPE 991 GT3 RS phase 2
RENAULT MEGANE 4,21070.0,France,2017.0,16/12/2017,84 200 km,Diesel,,,,,,6 CV,(DIN) 131 ch - (moteur) 96 kW,"3,7 L/100 km",RENAULT,MEGANE 4
FORD C-MAX II phase 2,15240.0,France,2019.0,29/01/2020,88 870 km,Essence,Manuelle,,,,,7 CV,(DIN) 125 ch - (moteur) 92 kW,"5,7 L/100 km",FORD,C-MAX II phase 2
BMW SERIE 1 F40,39960.0,Importé,2023.0,31/01/2024,34 745 km,Essence,Automatique,,,,,7 CV,(DIN) 136 ch,,BMW,SERIE 1 F40
SEAT LEON III phase 2,17220.0,France,2018.0,17/09/2018,87 055 km,Essence,,,,,,6 CV,(DIN) 110 ch,"4,3 L/100 km",SEAT,LEON III phase 2
AUDI RS6 IV AVANT,151120.0,France,2020.0,30/06/2020,51 667 km,Essence,Automatique,,,,,52 CV,(DIN) 600 ch,"11,5 L/100 km",AUDI,RS6 IV AVANT
CITROEN C4 SPACETOURER,14150.0,France,2020.0,27/02/2020,139 520 km,Diesel,Manuelle,gris metal,,,,6 CV,(DIN) 131 ch - (moteur) 96 kW,4 L/100 km,CITROEN,C4 SPACETOURER
PEUGEOT 2008 II,24280.0,France,2023.0,10/09/2023,9 198 km,Essence,Manuelle,,,,,5 CV,(DIN) 101 ch,"5,4 L/100 km",PEUGEOT,2008 II
FIAT TALENTO II,24500.0,France,2020.0,09/08/2020,83 460 km,Diesel,,,,,,5 CV,(DIN) 121 ch - (moteur) 88 kW,6 L/100 km,FIAT,TALENTO II
AUDI Q3 II,40310.0,France,2021.0,13/09/2021,44 255 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"5,9 L/100 km",AUDI,Q3 II
SEAT LEON III ST CUPRA phase 2,28850.0,France,2018.0,10/09/2018,83 455 km,Essence,Manuelle,,,,,19 CV,(DIN) 301 ch - (moteur) 221 kW,"5,7 L/100 km",SEAT,LEON III ST CUPRA phase 2
VOLKSWAGEN CALIFORNIA T6,85020.0,France,2023.0,27/06/2023,26 km,Diesel,Automatique,,,,,7 CV,(DIN) 150 ch,"7,8 L/100 km",VOLKSWAGEN,CALIFORNIA T6
VOLKSWAGEN TAIGO,31290.0,France,2023.0,22/09/2023,8 532 km,Essence,,,,,,8 CV,(DIN) 150 ch,"6,1 L/100 km",VOLKSWAGEN,TAIGO
BMW X2 F39,43180.0,France,2022.0,16/02/2022,31 852 km,Hybride essence électrique,,,,,,6 CV,(DIN) 220 ch,,BMW,X2 F39
VOLKSWAGEN TAIGO,31290.0,France,2023.0,22/09/2023,8 532 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch,"6,1 L/100 km",VOLKSWAGEN,TAIGO
AUDI A3 IV SPORTBACK,39780.0,France,2023.0,26/02/2023,18 795 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,6 L/100 km",AUDI,A3 IV SPORTBACK
AUDI S3 III BERLINE,40230.0,France,2017.0,10/10/2017,18 055 km,Essence,Automatique,noir,,,,19 CV,(DIN) 300 ch,"6,9 L/100 km",AUDI,S3 III BERLINE
SKODA SCALA,24140.0,France,2023.0,19/04/2023,34 340 km,Essence,Manuelle,,,,,6 CV,(DIN) 110 ch,"5,2 L/100 km",SKODA,SCALA
TOYOTA COROLLA XII TOURING SPORTS,29680.0,France,2021.0,04/11/2021,87 011 km,Hybride essence électrique,,,,,,8 CV,(DIN) 152 ch,,TOYOTA,COROLLA XII TOURING SPORTS
VOLVO XC60 II,57660.0,France,2022.0,29/05/2022,21 800 km,Diesel,Automatique,blanc opaque (verni sans reflet),,,,11 CV,(DIN) 197 ch - (moteur) 145 kW,,VOLVO,XC60 II
PEUGEOT 2008 phase 2,16220.0,France,2019.0,30/12/2019,84 580 km,Diesel,Manuelle,,,,,4 CV,(DIN) 75 ch - (moteur) 55 kW,"3,3 L/100 km",PEUGEOT,2008 phase 2
SEAT ARONA,26470.0,Importé,2023.0,18/02/2023,24 044 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch - (moteur) 81 kW,,SEAT,ARONA
DACIA SANDERO III,15710.0,France,2022.0,10/12/2022,1 694 km,Essence,Manuelle,,,,,4 CV,(DIN) 67 ch,"5,3 L/100 km",DACIA,SANDERO III
RENAULT ESPACE V,16970.0,France,2016.0,26/10/2016,151 620 km,Diesel,Automatique,,,,,8 CV,(DIN) 161 ch - (moteur) 118 kW,"4,4 L/100 km",RENAULT,ESPACE V
KIA XCEED,32150.0,Importé,2023.0,28/12/2023,3 202 km,Hybride essence électrique,Automatique,noir,,,,7 CV,(DIN) 141 ch,,KIA,XCEED
SEAT IBIZA IV phase 2,13130.0,France,2017.0,27/08/2017,105 164 km,Essence,Manuelle,blanc metal,,,,4 CV,(DIN) 75 ch - (moteur) 55 kW,"5,2 L/100 km",SEAT,IBIZA IV phase 2
CITROEN C5 AIRCROSS phase 2,28490.0,France,2024.0,26/11/2024,1 km,Essence,,,,,,7 CV,(DIN) 131 ch,"6,1 L/100 km",CITROEN,C5 AIRCROSS phase 2
LAND ROVER RANGE ROVER SPORT III,221880.0,France,2024.0,27/11/2024,2 220 km,Hybride essence électrique,Automatique,,,,,28 CV,(DIN) 510 ch,,LAND,ROVER RANGE ROVER SPORT III
AUDI A3 IV SPORTBACK,42480.0,France,2021.0,07/02/2021,98 883 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,9 L/100 km",AUDI,A3 IV SPORTBACK
AUDI A5 (2E GENERATION) CABRIOLET,45490.0,Importé,2021.0,22/04/2021,39 699 km,Essence,Automatique,,,,,10 CV,(DIN) 190 ch,,AUDI,A5 (2E GENERATION) CABRIOLET
CITROEN C5 AIRCROSS,28840.0,France,2021.0,29/06/2021,19 886 km,Diesel,Automatique,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
NISSAN X-TRAIL III phase 2,21480.0,Importé,2018.0,13/07/2018,96 000 km,Diesel,,,,,,7 CV,(DIN) 131 ch - (moteur) 96 kW,"4,6 L/100 km",NISSAN,X-TRAIL III phase 2
NISSAN LEAF phase 2,19500.0,France,2018.0,27/03/2018,5 598 km,Electrique,,,,,,3 CV,,,NISSAN,LEAF phase 2
PEUGEOT 308 II phase 2,17110.0,France,2018.0,13/03/2018,88 328 km,Essence,,,,,,7 CV,(DIN) 131 ch,"4,5 L/100 km",PEUGEOT,308 II phase 2
BMW SERIE 4 F83 CABRIOLET M4,79280.0,Importé,2019.0,22/10/2019,48 800 km,Essence,,,,,,34 CV,(DIN) 450 ch - (moteur) 331 kW,"8,7 L/100 km",BMW,SERIE 4 F83 CABRIOLET M4
NISSAN CUBE,7070.0,France,2011.0,07/04/2011,108 978 km,,,,,,,6 CV,(DIN) 110 ch,"4,7 L/100 km",NISSAN,CUBE
PEUGEOT 3008 II phase 2,49000.0,France,2023.0,27/04/2023,10 193 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 181 ch,,PEUGEOT,3008 II phase 2
CITROEN C5 AIRCROSS phase 2,37270.0,France,2023.0,13/02/2023,11 km,Essence,Automatique,noir,,,,7 CV,(DIN) 131 ch,"6,5 L/100 km",CITROEN,C5 AIRCROSS phase 2
RENAULT SCENIC IV,19660.0,France,2020.0,06/10/2020,126 364 km,Diesel,,,,,,6 CV,(DIN) 120 ch,"4,8 L/100 km",RENAULT,SCENIC IV
SEAT ATECA,32000.0,France,2021.0,10/04/2021,19 569 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch,7 L/100 km,SEAT,ATECA
CHEVROLET CORVETTE C7 STINGRAY TARGA,86880.0,Importé,2017.0,03/12/2017,33 000 km,Essence,,,,,,37 CV,(DIN) 467 ch - (moteur) 343 kW,"7,8 L/100 km",CHEVROLET,CORVETTE C7 STINGRAY TARGA
AUDI Q5 II,44980.0,France,2019.0,24/10/2019,107 371 km,Diesel,,,,,,9 CV,(DIN) 163 ch,"4,9 L/100 km",AUDI,Q5 II
RENAULT CLIO V,16610.0,France,2022.0,09/02/2022,47 824 km,Essence,Manuelle,,,,,5 CV,(DIN) 91 ch,"5,2 L/100 km",RENAULT,CLIO V
MINI III 5P,27120.0,France,2020.0,27/06/2020,38 847 km,Essence,Automatique,bleu,,,,7 CV,(DIN) 136 ch,5 L/100 km,MINI,III 5P
AUDI A3 (3E GENERATION) SPORTBACK,27800.0,Importé,2020.0,10/06/2020,34 545 km,Diesel,Automatique,noir,,,,8 CV,(DIN) 150 ch,,AUDI,A3 (3E GENERATION) SPORTBACK
MERCEDES CLASSE A III phase 2,20570.0,France,2019.0,22/05/2019,67 873 km,Essence,Manuelle,,,,,6 CV,(DIN) 122 ch,"4,3 L/100 km",MERCEDES,CLASSE A III phase 2
FIAT 500 III,16220.0,France,2023.0,24/02/2023,15 313 km,Essence,Manuelle,ROUGE LAQUE,,,,4 CV,(DIN) 70 ch,,FIAT,500 III
CITROEN C5 X,46180.0,France,2023.0,15/03/2023,23 332 km,Hybride essence électrique,,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
BMW SERIE 1 F40,36770.0,Importé,2022.0,23/03/2022,10 743 km,Essence,Manuelle,bleu metal,,,,7 CV,(DIN) 136 ch - (moteur) 100 kW,6 L/100 km,BMW,SERIE 1 F40
FORD RANGER III phase 2,26650.0,France,2018.0,05/09/2018,123 366 km,Diesel,,,,,,7 CV,(DIN) 161 ch - (moteur) 118 kW,"6,4 L/100 km",FORD,RANGER III phase 2
CITROEN C5 AIRCROSS,30490.0,France,2020.0,06/03/2020,67 426 km,Diesel,Automatique,blanc,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
LYNK & CO 01,32080.0,France,2022.0,06/05/2022,60 488 km,Hybride essence électrique,,,,,,10 CV,(DIN) 261 ch,,LYNK,& CO 01
BMW SERIE 4 F36 GRAN COUPE,41020.0,France,2018.0,10/08/2018,75 712 km,Essence,Automatique,,,,,15 CV,(DIN) 252 ch,"5,2 L/100 km",BMW,SERIE 4 F36 GRAN COUPE
RENAULT MEGANE IV phase 2,18510.0,France,2022.0,02/01/2023,50 323 km,Diesel,,,,,,6 CV,(DIN) 116 ch,"4,9 L/100 km",RENAULT,MEGANE IV phase 2
