name,price,year,date,mileage,energy,gearbox,color,doors,ratedHorsePower,powerDIN,brand,model
VOLKSWAGEN SCIROCCO II phase 2,20220,2018,23/10/2018,133 750 km,Diesel,Automatique,Noir,3.0,10 CV,(DIN) 184 ch,VOLKSWAGEN,SCIROCCO II phase 2
AUDI A4 V AVANT phase 3,47710,2023,20/01/2024,14 695 km,Essence,Automatique,noir,5.0,8 CV,(DIN) 150 ch,AUDI,A4 V AVANT phase 3
DACIA DOKKER STEPWAY,17380,2018,10/11/2018,86 809 km,Essence,Manuelle,blanc,5.0,6 CV,(DIN) 116 ch,DACIA,DOKKER STEPWAY
RENAULT MEGANE IV,21230,2017,07/08/2017,59 034 km,Essence,Manuelle,gris clair,5.0,7 CV,(DIN) 132 ch,RENAULT,MEGANE IV
SKODA KAMIQ,25410,2022,26/03/2022,18 495 km,Essence,Automatique,rouge,5.0,6 CV,(DIN) 110 ch,SKODA,KAMIQ
RENAULT CLIO V,14720,2020,11/03/2020,123 329 km,Diesel,Manuelle,Noir,5.0,5 CV,(DIN) 116 ch,RENAULT,CLIO V
SEAT ATECA,28070,2019,24/04/2019,84 279 km,Diesel,Manuelle,gris foncé,5.0,8 CV,(DIN) 150 ch,SEAT,ATECA
DACIA SANDERO II STEPWAY phase 2,13180,2019,15/08/2019,105 021 km,Diesel,Manuelle,blanc,5.0,4 CV,(DIN) 90 ch,DACIA,SANDERO II STEPWAY phase 2
AUDI SQ7 phase 2,83180,2018,30/06/2018,71 043 km,Diesel,Automatique,noir,5.0,32 CV,(DIN) 435 ch,AUDI,SQ7 phase 2
PEUGEOT 2008 phase 2,15290,2018,30/01/2019,84 656 km,Essence,Manuelle,gris metal,5.0,5 CV,(DIN) 110 ch - (moteur) 81 kW,PEUGEOT,2008 phase 2
AUDI A3 III SPORTBACK phase 2,34780,2021,16/04/2021,48 402 km,Essence,Automatique,gris,5.0,8 CV,(DIN) 150 ch,AUDI,A3 III SPORTBACK phase 2
DACIA DUSTER II,22130,2020,19/10/2020,42 804 km,Essence,Manuelle,blanc,5.0,8 CV,(DIN) 150 ch,DACIA,DUSTER II
AUDI A8,99180,2020,24/08/2020,55 800 km,Hybride essence électrique,Automatique,noir,4.0,20 CV,(DIN) 340 ch - (moteur) 330 kW,AUDI,A8
AUDI S7 SPORTBACK,43540,2014,30/09/2014,191 967 km,Essence,Automatique,gris anthracite metal,5.0,31 CV,(DIN) 420 ch - (moteur) 309 kW,AUDI,S7 SPORTBACK
JAGUAR F-PACE,34680,2018,10/01/2019,101 326 km,Diesel,Automatique,gris,5.0,10 CV,(DIN) 180 ch,JAGUAR,F-PACE
FORD KUGA II phase 2,22080,2018,29/04/2018,99 678 km,Diesel,Automatique,blanc,5.0,6 CV,(DIN) 120 ch,FORD,KUGA II phase 2
RENAULT CLIO IV phase 2,11130,2018,26/05/2018,96 530 km,Diesel,Manuelle,gris clair,5.0,4 CV,(DIN) 90 ch,RENAULT,CLIO IV phase 2
PEUGEOT 208 II,27820,2024,11/03/2024,1 160 km,Essence,Automatique,P. M. Gris Acier,5.0,5 CV,(DIN) 101 ch,PEUGEOT,208 II
VOLKSWAGEN TAIGO,37070,2023,27/10/2023,23 436 km,Essence,Automatique,Noir,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TAIGO
MAZDA CX-5,17060,2017,07/07/2017,179 218 km,Diesel,Manuelle,gris metal,5.0,8 CV,(DIN) 150 ch - (moteur) 110 kW,MAZDA,CX-5
JAGUAR F-PACE,46020,2018,13/02/2018,137 470 km,Essence,Automatique,blanc verni,5.0,23 CV,(DIN) 340 ch - (moteur) 250 kW,JAGUAR,F-PACE
VOLKSWAGEN GOLF VII phase 2,31840,2021,10/05/2021,18 323 km,Hybride essence électrique,Automatique,Blanc,5.0,8 CV,(DIN) 204 ch,VOLKSWAGEN,GOLF VII phase 2
PEUGEOT 3008 II,19860,2020,02/12/2020,93 047 km,Essence,Automatique,noir,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II
FIAT TALENTO PANORAMA,23740,2017,28/06/2017,150 552 km,Diesel,Manuelle,blanc,5.0,7 CV,(DIN) 125 ch,FIAT,TALENTO PANORAMA
VOLKSWAGEN TRANSPORTER V,26640,2020,26/05/2020,102 720 km,Diesel,Manuelle,Blanc,4.0,7 CV,(DIN) 102 ch - (moteur) 75 kW,VOLKSWAGEN,TRANSPORTER V
PEUGEOT 2008 II,35380,2023,01/03/2023,5 900 km,Diesel,Automatique,GRIS ARTENSE,5.0,7 CV,(DIN) 131 ch,PEUGEOT,2008 II
MERCEDES GLC COUPE phase 2,70550,2021,21/01/2022,69 943 km,Hybride essence électrique,Automatique,gris anthracite metal,5.0,10 CV,(DIN) 320 ch - (moteur) 235 kW,MERCEDES,GLC COUPE phase 2
NISSAN QASHQAI III,32980,2023,04/06/2023,28 490 km,Essence,Manuelle,Gris,5.0,7 CV,(DIN) 140 ch,NISSAN,QASHQAI III
RENAULT CLIO V,19190,2022,02/09/2022,28 275 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 91 ch,RENAULT,CLIO V
LEXUS IS III phase 2,26730,2020,09/10/2020,143 180 km,Hybride essence électrique,Automatique,gris foncé,4.0,9 CV,(DIN) 181 ch,LEXUS,IS III phase 2
PEUGEOT 308 II SW,11880,2017,25/09/2017,137 751 km,Diesel,Automatique,bleu foncé,5.0,6 CV,(DIN) 120 ch,PEUGEOT,308 II SW
PORSCHE 911 TYPE 991 CABRIOLET phase 2,151080,2017,14/02/2017,44 400 km,Essence,Automatique,gris quartz metal,2.0,30 CV,(DIN) 420 ch - (moteur) 309 kW,PORSCHE,911 TYPE 991 CABRIOLET phase 2
PEUGEOT 2008 II,33580,2023,09/07/2023,3 595 km,Diesel,Automatique,GRIS PLATINIUM,5.0,7 CV,(DIN) 131 ch,PEUGEOT,2008 II
FORD PUMA II,27210,2022,03/11/2022,60 453 km,Essence,Manuelle,gris,5.0,6 CV,(DIN) 125 ch,FORD,PUMA II
BMW X5 G05,70090,2020,18/09/2020,53 018 km,Diesel,Automatique,NOIR,5.0,16 CV,(DIN) 265 ch,BMW,X5 G05
FIAT 500 C III,17580,2022,03/12/2022,37 822 km,Essence,Manuelle,bleu,3.0,4 CV,(DIN) 71 ch,FIAT,500 C III
CHEVROLET CAMARO VI,54290,2017,04/02/2017,114 680 km,Essence,Automatique,rouge,2.0,35 CV,(DIN) 453 ch,CHEVROLET,CAMARO VI
MINI MINI III 5P,21820,2016,13/11/2016,38 730 km,Essence,Automatique,gris foncé verni,5.0,10 CV,(DIN) 192 ch - (moteur) 141 kW,MINI,MINI III 5P
OPEL CORSA VI,15350,2022,16/03/2022,40 564 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
MINI MINI III 5P,21820,2016,13/11/2016,38 730 km,Essence,Automatique,gris foncé verni,5.0,10 CV,(DIN) 192 ch - (moteur) 141 kW,MINI,MINI III 5P
SKODA FABIA 4,23770,2024,11/04/2024,12 km,Essence,Manuelle,bleu,5.0,5 CV,(DIN) 95 ch,SKODA,FABIA 4
HYUNDAI KONA,20140,2020,07/08/2020,41 102 km,Diesel,Manuelle,gris foncé metal,5.0,6 CV,(DIN) 116 ch - (moteur) 85 kW,HYUNDAI,KONA
PEUGEOT 3008 II,27360,2019,11/08/2019,67 860 km,Essence,Manuelle,noir,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II
FORD TRANSIT IV,23400,2018,08/08/2018,95 726 km,Diesel,Manuelle,blanc,2.0,5 CV,(DIN) 131 ch,FORD,TRANSIT IV
AUDI A8 IV,90380,2020,06/04/2020,50 850 km,Hybride essence électrique,Automatique,noir,4.0,20 CV,(DIN) 340 ch,AUDI,A8 IV
FORD PUMA II,23390,2021,14/04/2021,36 542 km,Essence,Manuelle,beige verni,5.0,6 CV,(DIN) 125 ch - (moteur) 92 kW,FORD,PUMA II
CITROEN C5 AIRCROSS,24270,2022,13/05/2022,83 808 km,Essence,Automatique,gris metal,5.0,7 CV,(DIN) 131 ch - (moteur) 96 kW,CITROEN,C5 AIRCROSS
AUDI A5 SPORTBACK II phase 2,58280,2023,09/03/2023,41 340 km,Diesel,Automatique,noir metal,5.0,11 CV,(DIN) 204 ch - (moteur) 150 kW,AUDI,A5 SPORTBACK II phase 2
DS 3 CROSSBACK,30980,2022,01/01/2023,76 568 km,Diesel,Automatique,GRIS FONCE,5.0,7 CV,(DIN) 131 ch,DS,3 CROSSBACK
RENAULT CLIO 5,20720,2022,31/07/2022,8 716 km,Essence,Manuelle,rouge,5.0,5 CV,(DIN) 90 ch,RENAULT,CLIO 5
VOLKSWAGEN TIGUAN II,29230,2018,21/04/2018,49 168 km,Essence,Manuelle,gris clair,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN II
PORSCHE 911 TYPE 991 GT3 RS phase 2,319670,2019,29/01/2020,17 220 km,Essence,Automatique,jaune verni,2.0,44 CV,(DIN) 521 ch - (moteur) 382 kW,PORSCHE,911 TYPE 991 GT3 RS phase 2
DACIA DUSTER II phase 2,19690,2020,12/08/2020,38 575 km,Essence,Manuelle,GRIS,5.0,7 CV,(DIN) 131 ch,DACIA,DUSTER II phase 2
RENAULT CLIO IV phase 2,13530,2020,17/10/2020,65 469 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 90 ch,RENAULT,CLIO IV phase 2
MINI III 3P phase 2,30840,2022,30/06/2022,24 856 km,Electrique,Automatique,gris clair,3.0,5 CV,(DIN) 102 ch,MINI,III 3P phase 2
PEUGEOT 3008 II,25720,2019,24/08/2019,52 484 km,Diesel,Manuelle,Noir,5.0,6 CV,(DIN) 131 ch,PEUGEOT,3008 II
PEUGEOT E-208 II,33880,2023,10/03/2023,22 042 km,Electrique,Automatique,gris,5.0,4 CV,(DIN) 136 ch,PEUGEOT,E-208 II
CHEVROLET CORVETTE C7 STINGRAY TARGA,86090,2017,31/10/2017,32 700 km,Essence,Manuelle,rouge metal,2.0,37 CV,(DIN) 467 ch - (moteur) 343 kW,CHEVROLET,CORVETTE C7 STINGRAY TARGA
OPEL INSIGNIA II GRAND SPORT,21940,2020,08/01/2021,29 673 km,Diesel,Automatique,NOIR,5.0,7 CV,(DIN) 136 ch,OPEL,INSIGNIA II GRAND SPORT
CITROEN C5 X,46180,2024,10/12/2024,12 km,Hybride essence électrique,Automatique,noir,5.0,10 CV,(DIN) 150 ch,CITROEN,C5 X
DACIA JOGGER,25710,2024,30/11/2024,11 km,Bicarburation essence GPL,Manuelle,gris,5.0,5 CV,(DIN) 100 ch,DACIA,JOGGER
JAGUAR F-TYPE COUPE phase 2,84660,2018,11/04/2018,45 240 km,Essence,Automatique,blanc nacre,3.0,30 CV,(DIN) 400 ch - (moteur) 294 kW,JAGUAR,F-TYPE COUPE phase 2
CITROEN C4 II phase 2,24980,2019,15/03/2019,116 906 km,Diesel,Manuelle,noir,5.0,6 CV,(DIN) 120 ch,CITROEN,C4 II phase 2
MERCEDES GLC phase 2,48900,2020,16/01/2021,120 840 km,Diesel,Automatique,or verni,5.0,14 CV,(DIN) 245 ch - (moteur) 180 kW,MERCEDES,GLC phase 2
LAND ROVER RANGE ROVER VELAR,88450,2022,08/07/2022,62 893 km,Hybride essence électrique,Automatique,gris foncé metal,5.0,19 CV,(DIN) 301 ch - (moteur) 297 kW,LAND,ROVER RANGE ROVER VELAR
DACIA SANDERO 3 STEPWAY,19940,2023,24/02/2023,11 km,Bicarburation essence GPL,Manuelle,vert,5.0,5 CV,(DIN) 101 ch,DACIA,SANDERO 3 STEPWAY
FORD FIESTA V phase 2,12720,2018,07/01/2019,50 023 km,Essence,Manuelle,rouge,,5 CV,(DIN) 101 ch,FORD,FIESTA V phase 2
PEUGEOT 208,14000,2020,19/06/2020,118 309 km,Essence,Automatique,blanc,5.0,6 CV,(DIN) 110 ch,PEUGEOT,208
PORSCHE MACAN phase 2,127030,2021,22/10/2021,24 200 km,Essence,Automatique,noir metal,5.0,26 CV,(DIN) 380 ch - (moteur) 280 kW,PORSCHE,MACAN phase 2
VOLKSWAGEN PASSAT VIII phase 2,32110,2020,01/08/2020,90 122 km,Hybride essence électrique,Automatique,noir,4.0,6 CV,(DIN) 218 ch,VOLKSWAGEN,PASSAT VIII phase 2
VOLKSWAGEN CRAFTER II,37320,2019,07/05/2019,93 600 km,Diesel,Manuelle,blanc,2.0,7 CV,(DIN) 140 ch,VOLKSWAGEN,CRAFTER II
AUDI RS6 IV AVANT,176000,2021,30/04/2021,19 754 km,Essence,Automatique,blanc metal,5.0,52 CV,(DIN) 600 ch - (moteur) 441 kW,AUDI,RS6 IV AVANT
